0 49
36 37 18
22 37 20
34 47 8
2 45 18
8 14 19
18 45 5
46 49 15
1 30 3
7 22 14
6 14 4
28 39 5
31 42 8
4 5 11
18 48 9
42 43 10
41 46 17
47 48 10
41 47 5
34 48 12
14 32 7
2 45 1
20 21 19
26 49 4
31 48 11
6 45 6
23 47 3
20 22 17
33 39 1
13 24 19
31 39 2
35 38 18
7 15 2
18 42 8
34 49 1
35 44 2
0 17 11
36 46 17
12 29 5
39 45 3
29 36 1
4 18 17
15 47 18
25 26 15
35 49 15
40 42 10
14 46 13
34 40 13
30 46 2
42 45 15
46 47 8
31 49 13
0 41 18
21 27 18
47 49 16
44 46 4
46 48 20
9 10 7
18 23 16
3 19 11
0 4 18
2 33 1
40 44 20
5 30 1
45 49 18
14 42 18
29 46 6
21 48 8
45 46 5
8 36 19
1 30 13
21 49 3
34 44 5
36 42 16
21 28 13
3 42 6
44 48 20
22 46 7
15 43 5
40 43 15
13 31 9
43 44 10
9 44 20
36 43 16
18 21 11
28 35 14
20 39 11
34 36 9
22 47 5
35 46 9
3 11 11
24 48 4
37 46 7
40 48 11
36 42 3
0 1 3
1 2 2
2 3 11
3 6 19
6 7 20
7 8 17
8 9 17
9 12 18
12 13 19
13 20 6
20 25 16
25 34 12
